trade_num,direction,favored,entry_time,exit_time,exit_reason,levels_filled,l1_price,blended_entry,exit_price,pnl,fees,equity_before,equity_after,hold_minutes
408,long,N,2022-06-11 08:00:00,2022-06-11 13:31:00,TP,3,29335.45,28684.93,28828.32,85.6297,11.7452,8104.00,8189.63,331
409,long,N,2022-07-11 04:00:00,2022-07-11 08:17:00,TP,2,20543.96,20434.08,20536.22,32.4130,4.4295,8184.54,8216.96,257
410,long,N,2022-07-11 12:00:00,2022-07-11 12:37:00,TP,1,20462.93,20462.93,20565.21,10.8551,1.4667,8214.78,8225.64,37
411,long,N,2022-07-11 16:00:00,2022-07-11 17:12:00,TP,1,20432.27,20432.27,20534.40,10.8642,1.4706,8223.46,8234.33,72
412,long,N,2022-07-11 20:00:00,2022-07-13 23:15:00,TP,3,20521.41,20066.33,20166.63,85.3977,13.3847,8221.88,8307.27,3075
413,long,N,2022-07-23 16:00:00,2022-07-23 18:18:00,TP,2,22205.19,22086.43,22196.83,32.9036,4.4690,8302.11,8335.02,138
414,long,N,2022-07-25 04:00:00,2022-07-25 07:13:00,TP,1,21865.58,21865.58,21974.88,11.0007,1.4984,8332.81,8343.81,193
415,long,N,2022-07-25 08:00:00,2022-07-25 08:51:00,TP,1,21970.47,21970.47,22080.29,11.0220,1.4903,8341.61,8352.63,51
416,long,N,2022-07-25 12:00:00,2022-07-25 16:02:00,TP,2,21940.93,21823.58,21932.67,33.0619,4.5146,8347.44,8380.50,242
417,long,N,2022-07-25 20:00:00,2022-07-25 20:02:00,TP,1,21904.70,21904.70,22014.19,11.0738,1.4935,8378.29,8389.36,2
418,long,N,2022-08-02 04:00:00,2022-08-02 10:46:00,TP,2,22848.52,22726.32,22839.92,33.1742,4.5680,8384.15,8417.32,406
419,long,N,2022-08-04 20:00:00,2022-08-04 21:06:00,TP,1,22454.32,22454.32,22566.56,11.1181,1.5045,8415.10,8426.21,66
420,long,N,2022-08-05 00:00:00,2022-08-05 01:41:00,TP,1,22604.94,22604.94,22717.93,11.1275,1.5085,8423.98,8435.11,101
421,long,N,2022-08-10 04:00:00,2022-08-10 04:44:00,TP,1,22865.26,22865.26,22979.56,11.1432,1.5062,8432.88,8444.02,44
422,long,N,2022-08-17 16:00:00,2022-08-17 18:00:00,TP,1,23368.68,23368.68,23485.49,11.1498,1.5130,8441.79,8452.94,120
423,long,N,2022-08-17 20:00:00,2022-08-17 20:21:00,TP,1,23265.39,23265.39,23381.69,11.1684,1.5078,8450.70,8461.87,21
424,long,N,2022-08-18 00:00:00,2022-08-18 00:44:00,TP,1,23354.73,23354.73,23471.47,11.1786,1.5109,8459.63,8470.81,44
425,long,N,2022-08-19 00:00:00,2022-09-09 04:01:00,TP,4,23175.72,20087.40,20187.81,186.4487,73.9509,8439.13,8625.58,30481
426,long,N,2022-09-13 16:00:00,2022-09-13 16:12:00,TP,1,20750.40,20750.40,20854.12,11.3967,1.5379,8623.30,8634.70,12
427,long,N,2022-10-07 20:00:00,2022-10-07 20:46:00,TP,1,19461.82,19461.82,19559.10,11.4061,1.5419,8632.41,8643.82,46
428,long,N,2022-10-11 04:00:00,2022-10-11 08:14:00,TP,1,19043.27,19043.27,19138.46,11.4035,1.5582,8641.53,8652.93,254
429,long,N,2022-10-13 12:00:00,2022-10-13 12:29:00,TP,1,18760.79,18760.79,18854.56,11.4313,1.5440,8650.64,8662.08,29
